iter	Passed	Remaining
824	11564	2453
825	11573	2437
826	11583	2423
827	11593	2408
828	11603	2393
829	11612	2378
830	11622	2363
831	11634	2349
832	11646	2334
833	11657	2320
834	11669	2306
835	11682	2291
836	11696	2277
837	11711	2264
838	11726	2250
839	11739	2236
840	11757	2222
841	11774	2209
842	11788	2195
843	11806	2182
844	11822	2168
845	11839	2155
846	11857	2141
847	11877	2129
848	11895	2115
849	11908	2101
850	11921	2087
851	11935	2073
852	11950	2059
853	11966	2045
854	11978	2031
855	11987	2016
856	12000	2002
857	12010	1987
858	12020	1973
859	12029	1958
860	12039	1943
861	12048	1928
862	12058	1914
863	12067	1899
864	12077	1884
865	12088	1870
866	12100	1856
867	12113	1842
868	12126	1828
869	12138	1813
870	12150	1799
871	12161	1785
872	12172	1770
873	12184	1756
874	12196	1742
875	12208	1728
876	12220	1713
877	12233	1699
878	12248	1686
879	12261	1671
880	12274	1657
881	12285	1643
882	12297	1629
883	12311	1615
884	12323	1601
885	12336	1587
886	12349	1573
887	12363	1559
888	12376	1545
889	12390	1531
890	12403	1517
891	12417	1503
892	12430	1489
893	12443	1475
894	12456	1461
895	12469	1447
896	12482	1433
897	12495	1419
898	12507	1405
899	12520	1391
900	12530	1376
901	12543	1362
902	12556	1348
903	12569	1334
904	12583	1320
905	12597	1307
906	12610	1293
907	12625	1279
908	12637	1265
909	12651	1251
910	12665	1237
911	12678	1223
912	12692	1209
913	12706	1195
914	12721	1181
915	12735	1167
916	12747	1153
917	12759	1139
918	12771	1125
919	12783	1111
920	12792	1097
921	12804	1083
922	12815	1069
923	12824	1054
924	12836	1040
925	12847	1026
926	12858	1012
927	12868	998
928	12877	984
929	12888	970
930	12899	955
931	12908	941
932	12919	927
933	12929	913
934	12938	899
935	12950	885
936	12959	871
937	12971	857
938	12983	843
939	12995	829
940	13004	815
941	13016	801
942	13025	787
943	13035	773
944	13046	759
945	13055	745
946	13068	731
947	13085	717
948	13098	703
949	13111	690
950	13122	676
951	13134	662
952	13144	648
953	13155	634
954	13167	620
955	13179	606
956	13192	592
957	13205	578
958	13223	565
959	13237	551
960	13255	537
961	13265	524
962	13280	510
963	13295	496
964	13313	482
965	13327	469
966	13343	455
967	13356	441
968	13370	427
969	13385	413
970	13399	400
971	13420	386
972	13435	372
973	13450	359
974	13466	345
975	13482	331
976	13499	317
977	13514	304
978	13529	290
979	13542	276
980	13557	262
981	13569	248
982	13583	234
983	13598	221
984	13613	207
985	13629	193
986	13643	179
987	13653	165
988	13662	151
989	13671	138
990	13680	124
991	13689	110
992	13698	96
993	13713	82
994	13728	68
995	13741	55
996	13753	41
997	13764	27
998	13777	13
999	13791	0
